x_axis,Intensity,Error
2.673296620000000044e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.019889859000000135e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.336648309999999978e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.871307633999999900e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.405966958000000169e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.940626282000000091e-02,1.882117517999999836e+04,6.793414959000000408e+01
3.475285605999999666e-02,8.362627134000000660e+04,1.331036703000000045e+02
4.009944929999999935e-02,7.238247256999999809e+04,1.028853395999999947e+02
4.544604254000000204e-02,5.312417530999999872e+04,6.947609271000000319e+01
5.079263577999999779e-02,3.924164867000000231e+04,4.781107671000000181e+01
5.613922900999999965e-02,2.985712746999999945e+04,3.466570369000000085e+01
6.148582225000000234e-02,2.314378701000000001e+04,2.557898953999999847e+01
6.683241549000000503e-02,1.777305816000000050e+04,1.869094036999999986e+01
7.217900872999999384e-02,1.381614482999999927e+04,1.401342630999999983e+01
7.752560196999999653e-02,1.088975372000000061e+04,1.067580343999999926e+01
8.287219520999999922e-02,8.442598265000000538e+03,7.965313197000000400e+00
8.821878845000000191e-02,6.542549289999999928e+03,6.002563657999999691e+00
9.356538169000000460e-02,5.128417688999999882e+03,4.593049895000000049e+00
9.891197492999999341e-02,3.940315645000000131e+03,3.424059827999999861e+00
1.042585681999999986e-01,2.986725573000000168e+03,2.534992965999999903e+00
1.096051613999999980e-01,2.277739301000000069e+03,1.907688341999999926e+00
1.149517545999999973e-01,1.703149204000000054e+03,1.394001202000000106e+00
1.202983479000000050e-01,1.237172818999999890e+03,9.944141648000000000e-01
1.256449410999999905e-01,8.978329996999999594e+02,7.192963386999999820e-01
1.309915343999999982e-01,6.347804168000000118e+02,5.025312884999999508e-01
1.363381275999999975e-01,4.247123000000000275e+02,3.328476669000000054e-01
1.416847207999999969e-01,2.773392847999999731e+02,2.221142325000000084e-01
1.470313141000000046e-01,1.737573192000000120e+02,1.410100655000000036e-01
1.523779073000000039e-01,9.715480209000000400e+01,8.055846059000000559e-02
1.577245006000000116e-01,4.970454321999999792e+01,4.543325428000000166e-02
1.630710938000000110e-01,2.287885046999999972e+01,2.303500707999999939e-02
1.684176870000000104e-01,9.182604269000000485e+00,9.092032591000000566e-03
1.737642802999999903e-01,7.243376373000000257e+00,6.447997345000000373e-03
1.791108734999999896e-01,1.246977198999999992e+01,1.037244898999999977e-02
1.844574667999999973e-01,2.248656955999999951e+01,1.623153704000000058e-02
1.898040599999999967e-01,3.580900232999999844e+01,2.370425355999999928e-02
1.951506531999999960e-01,4.927909202000000022e+01,3.086065329999999884e-02
2.004972465000000037e-01,6.280628131999999653e+01,3.765346675000000309e-02
2.058438397000000031e-01,7.575877882000000341e+01,4.428539212999999669e-02
2.111904330000000107e-01,8.600024793000000045e+01,4.933685307999999964e-02
2.165370262000000101e-01,9.449134954000000164e+01,5.314034406999999793e-02
2.218836194000000095e-01,1.009131150000000048e+02,5.592760034000000130e-02
2.272302126999999894e-01,1.040707581000000062e+02,5.708133115999999840e-02
2.325768058999999888e-01,1.055682577999999978e+02,5.710133911000000312e-02
2.379233991999999964e-01,1.047305156000000039e+02,5.595610766999999791e-02
2.432699923999999958e-01,1.014063557000000060e+02,5.379426058999999677e-02
2.486165855999999952e-01,9.701354668000000459e+01,5.092451272000000223e-02
