x_axis,Intensity,Error
2.500000000000000052e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000014e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000111e-02,1.421289587000000029e+04,8.611174006000000247e+01
3.749999999999999861e-02,1.079522446999999920e+04,5.841047197000000324e+01
4.250000000000000305e-02,7.973221840000000157e+03,3.955850276999999693e+01
4.750000000000000056e-02,5.954654101000000082e+03,2.775614935000000116e+01
5.249999999999999806e-02,4.527017638999999690e+03,2.002909059999999997e+01
5.750000000000000250e-02,3.520436901999999918e+03,1.472583292999999927e+01
6.250000000000000000e-02,2.709209198000000015e+03,1.091308304000000007e+01
6.750000000000000444e-02,2.127347673000000214e+03,8.201664808000000306e+00
7.249999999999999500e-02,1.666404583000000002e+03,6.195466831000000063e+00
7.749999999999999944e-02,1.310761719999999968e+03,4.723230932999999965e+00
8.250000000000000389e-02,1.020559453999999960e+03,3.571306835000000124e+00
8.749999999999999445e-02,7.977280598999999484e+02,2.718265004000000040e+00
9.249999999999999889e-02,6.245901489999999967e+02,2.073585588999999896e+00
9.750000000000000333e-02,4.802965580000000045e+02,1.561663486999999906e+00
1.024999999999999939e-01,3.709300855999999840e+02,1.182910909999999927e+00
1.074999999999999983e-01,2.794086879999999837e+02,8.784124405000000024e-01
1.125000000000000028e-01,2.083709148000000084e+02,6.486804041000000520e-01
1.174999999999999933e-01,1.551138752999999895e+02,4.782509529000000259e-01
1.224999999999999978e-01,1.114095424000000065e+02,3.435598456000000245e-01
1.275000000000000022e-01,7.995459567000000334e+01,2.475461183999999870e-01
1.325000000000000067e-01,5.450991005000000200e+01,1.708852291000000079e-01
1.375000000000000111e-01,3.647197689000000054e+01,1.176668243000000003e-01
1.424999999999999878e-01,2.357461796999999848e+01,7.884507791000000543e-02
1.474999999999999922e-01,1.441429018999999911e+01,5.077089510999999861e-02
