x_axis,Intensity,Error
1.031128696000000074e-02,2.990106520000000019e+06,1.584731716000000015e+05
3.093386089000000130e-02,2.092601118999999948e+06,8.881783078000000387e+04
5.155643481000000278e-02,3.845915063000000082e+05,2.016510451000000103e+04
7.217900872999999384e-02,9.261013042000000132e+04,1.099389355999999907e+03
9.280158266000000655e-02,3.213549263000000064e+04,2.789563504999999850e+02
1.134241566000000062e-01,1.186268966999999975e+04,9.612805760999999904e+01
1.340467304999999887e-01,3.933844747999999981e+03,3.228071957000000225e+01
1.546693044000000128e-01,1.087035814999999957e+03,1.014422569999999979e+01
1.752918783999999897e-01,2.851842518000000268e+02,2.478445859999999890e+00
1.959144523000000138e-01,2.582779069000000050e+02,1.162450830999999907e+00
2.165370262000000101e-01,3.736948623000000111e+02,1.359749287999999945e+00
2.371596001000000065e-01,4.204634214000000156e+02,1.391327792000000008e+00
2.577821739999999751e-01,3.573303280000000086e+02,1.186776958000000048e+00
2.784047479999999797e-01,2.452537764999999865e+02,8.617975595000000322e-01
2.990273218999999760e-01,1.298091520000000116e+02,5.176990945999999649e-01
3.196498957999999724e-01,5.212250774000000320e+01,2.529574878999999998e-01
3.402724697000000242e-01,1.896845503999999849e+01,9.866811872000000316e-02
3.608950436999999734e-01,1.953535454000000016e+01,7.268136650999999782e-02
3.815176176000000252e-01,3.419667247999999660e+01,1.014611752999999977e-01
4.021401915000000216e-01,4.629477851000000044e+01,1.197746162999999975e-01
4.227627654000000179e-01,4.768419485999999807e+01,1.188117719000000017e-01
4.433853394000000225e-01,3.798792883000000131e+01,9.834380949000000316e-02
4.640079133000000189e-01,2.404158102999999969e+01,6.920037880000000363e-02
4.846304872000000152e-01,1.126564313000000084e+01,3.904325005999999959e-02
5.052530611000000116e-01,4.326570684000000000e+00,1.767972350000000109e-02
5.258756351000000162e-01,3.557911381999999900e+00,1.194220476000000010e-02
5.464982090000000126e-01,6.769473018000000231e+00,1.814620058000000064e-02
5.671207829000000089e-01,1.052052156999999966e+01,2.374965508999999850e-02
5.877433568000000053e-01,1.219981954000000002e+01,2.569585472000000120e-02
6.083659308000000099e-01,1.106064914000000066e+01,2.355570589000000048e-02
6.289885047000000062e-01,7.802787332000000298e+00,1.799085475000000017e-02
6.496110786000000026e-01,4.127634231000000042e+00,1.119658094999999992e-02
6.702336524999999989e-01,1.666413649999999969e+00,5.611051237000000066e-03
6.908562263999999953e-01,1.003195188999999932e+00,3.133196205000000033e-03
7.114788003999999999e-01,1.866685898000000066e+00,4.782284280999999672e-03
7.321013742999999963e-01,3.274176402999999791e+00,6.834236357000000352e-03
7.527239481999999926e-01,4.274113202999999750e+00,8.062008682000000592e-03
7.733465220999999890e-01,4.278878113000000205e+00,7.939243283999999207e-03
7.939690960999999936e-01,3.352326677000000199e+00,6.543054224000000377e-03
8.145916699999999899e-01,2.003965045000000167e+00,4.450826155999999985e-03
8.352142438999999863e-01,8.786750802999999665e-01,2.414426847999999980e-03
8.558368177999999826e-01,3.981235476000000162e-01,1.181129500999999896e-03
8.764593917999999872e-01,6.077520575999999508e-01,1.547101459000000062e-03
8.970819656999999836e-01,1.205141785999999993e+00,2.423059010999999933e-03
9.177045395999999799e-01,1.765343472000000080e+00,3.092361228000000024e-03
9.383271134999999763e-01,1.966896820999999962e+00,3.290673672999999948e-03
9.589496874999999809e-01,1.701563818999999977e+00,2.917146419999999858e-03
9.795722613999999773e-01,1.138733309000000027e+00,2.147705990000000134e-03
1.000194835000000060e+00,5.597928087000000330e-01,1.267780922000000038e-03
1.020817408999999953e+00,2.204401011999999882e-01,6.013563936999999490e-04
1.041439983000000069e+00,2.175668078000000116e-01,5.591873147000000523e-04
1.062062556999999963e+00,4.699073589000000162e-01,9.562829748999999513e-04
1.082685131000000078e+00,7.672303202000000377e-01,1.328085748999999942e-03
1.103307704999999972e+00,9.198779053000000205e-01,1.513324601999999899e-03
1.123930279000000088e+00,8.543666514000000101e-01,1.437074868999999987e-03
1.144552852999999981e+00,6.156843252999999461e-01,1.134459355000000088e-03
1.165175427000000097e+00,3.355293226000000129e-01,7.321913951000000092e-04
1.185798000999999990e+00,1.363905166000000113e-01,3.703410576999999941e-04
