x_axis,Intensity,Error
2.500000000000000052e-03,3.818960209000000358e+07,5.099113311000000103e+05
7.499999999999999722e-03,3.805593950999999791e+07,2.947423500999999815e+05
1.250000000000000069e-02,3.753446665999999642e+07,2.263385131999999867e+05
1.750000000000000167e-02,3.681787725999999791e+07,1.900260479000000050e+05
2.249999999999999917e-02,3.620894103999999911e+07,1.665693166999999958e+05
2.750000000000000014e-02,3.518262463000000268e+07,1.483088371000000043e+05
3.250000000000000111e-02,3.393504059000000358e+07,1.343206702999999980e+05
3.749999999999999861e-02,3.234809098000000045e+07,1.221801003999999957e+05
4.250000000000000305e-02,3.029587967999999970e+07,1.110871214999999938e+05
4.750000000000000056e-02,2.859525346000000089e+07,1.022695806000000011e+05
5.249999999999999806e-02,2.651143219999999925e+07,9.423591556999999739e+04
5.750000000000000250e-02,2.367412369999999925e+07,8.483454468999999517e+04
6.250000000000000000e-02,2.010628467999999970e+07,7.370027799000000232e+04
6.750000000000000444e-02,1.631504923000000045e+07,6.161028893000000244e+04
7.249999999999999500e-02,1.235936532000000030e+07,4.797343845999999758e+04
7.749999999999999944e-02,8.831256010999999940e+06,3.382461493999999948e+04
8.250000000000000389e-02,6.237769682000000030e+06,2.111071544999999969e+04
8.749999999999999445e-02,4.595035603000000119e+06,1.178819659999999931e+04
9.249999999999999889e-02,3.639139336000000127e+06,6.347274542000000110e+03
9.750000000000000333e-02,3.059703253000000026e+06,4.331065580000000409e+03
1.024999999999999939e-01,2.613677063000000082e+06,3.419008878000000095e+03
1.074999999999999983e-01,2.249085688000000082e+06,2.743119910999999775e+03
1.125000000000000028e-01,1.966355347000000067e+06,2.212493221000000176e+03
1.174999999999999933e-01,1.736588399999999907e+06,1.835667169999999942e+03
1.224999999999999978e-01,1.545368966000000015e+06,1.573204257999999982e+03
1.275000000000000022e-01,1.377518551999999909e+06,1.354447038999999904e+03
1.325000000000000067e-01,1.233520777000000002e+06,1.162454191999999921e+03
1.375000000000000111e-01,1.111780273999999976e+06,1.007987982999999986e+03
1.424999999999999878e-01,1.007706668999999994e+06,8.890113741000000118e+02
1.474999999999999922e-01,9.132923482999999542e+05,7.873039288999999599e+02
1.524999999999999967e-01,8.283211602999999886e+05,6.953796773999999914e+02
1.575000000000000011e-01,7.529313405000000494e+05,6.146992214000000558e+02
1.625000000000000056e-01,6.895900651999999536e+05,5.501075190000000248e+02
1.675000000000000100e-01,6.328930505000000121e+05,4.958484060000000113e+02
1.724999999999999867e-01,5.799077976000000490e+05,4.460994461999999885e+02
1.774999999999999911e-01,5.309468277999999700e+05,4.000667674000000034e+02
1.824999999999999956e-01,4.871608475999999791e+05,3.598120724999999993e+02
1.875000000000000000e-01,4.491625783999999985e+05,3.265051536000000283e+02
1.925000000000000044e-01,4.142549870000000228e+05,2.970282996999999909e+02
1.975000000000000089e-01,3.813735266999999876e+05,2.693232297999999787e+02
2.025000000000000133e-01,3.515015087000000058e+05,2.439169464000000005e+02
2.074999999999999900e-01,3.243211246999999858e+05,2.219274833000000058e+02
2.124999999999999944e-01,3.003369148999999743e+05,2.030354988999999932e+02
2.174999999999999989e-01,2.775702030999999843e+05,1.855112507000000051e+02
2.225000000000000033e-01,2.557822828999999911e+05,1.688710191000000123e+02
2.275000000000000078e-01,2.362815044000000053e+05,1.538632523999999933e+02
2.325000000000000122e-01,2.188019456000000064e+05,1.409399194000000080e+02
2.374999999999999889e-01,2.028966538000000000e+05,1.294229488000000003e+02
2.424999999999999933e-01,1.875102589999999909e+05,1.184598217000000062e+02
2.474999999999999978e-01,1.732098276999999944e+05,1.081986492999999996e+02
2.525000000000000022e-01,1.599632290999999968e+05,9.891258797000000413e+01
2.575000000000000067e-01,1.484052685000000056e+05,9.096760516000000507e+01
2.625000000000000111e-01,1.371542635000000009e+05,8.345844119999999577e+01
2.675000000000000155e-01,1.267310461000000068e+05,7.645134158000000468e+01
2.725000000000000200e-01,1.168915200999999943e+05,6.989353896999999449e+01
2.775000000000000244e-01,1.080779710000000050e+05,6.408087213000000304e+01
2.824999999999999734e-01,9.986878080999999656e+04,5.885370471000000236e+01
2.874999999999999778e-01,9.208543271999999706e+04,5.395961968000000297e+01
2.924999999999999822e-01,8.490941690999999992e+04,4.938353034000000008e+01
2.974999999999999867e-01,7.824802087999999640e+04,4.519197309999999845e+01
3.024999999999999911e-01,7.218763244000000122e+04,4.143136445999999751e+01
3.074999999999999956e-01,6.656335076000000117e+04,3.801700155000000336e+01
3.125000000000000000e-01,6.118508013999999821e+04,3.478173199999999810e+01
3.175000000000000044e-01,5.610608383999999933e+04,3.173725802999999956e+01
3.225000000000000089e-01,5.152457355000000098e+04,2.898627336999999926e+01
3.275000000000000133e-01,4.733218972999999824e+04,2.652523438000000056e+01
3.325000000000000178e-01,4.334909580999999889e+04,2.423013352999999981e+01
3.375000000000000222e-01,3.965308423999999650e+04,2.209419437000000030e+01
3.425000000000000266e-01,3.621710244999999850e+04,2.010851102000000168e+01
3.474999999999999756e-01,3.304621951999999874e+04,1.829616855000000086e+01
3.524999999999999800e-01,3.012800929000000178e+04,1.666347263999999839e+01
3.574999999999999845e-01,2.744472736000000077e+04,1.516707279000000064e+01
3.624999999999999889e-01,2.494747957999999926e+04,1.376428420000000052e+01
3.674999999999999933e-01,2.262494454000000042e+04,1.247242619000000019e+01
3.724999999999999978e-01,2.051176693000000159e+04,1.130428883000000084e+01
3.775000000000000022e-01,1.854227329000000100e+04,1.022765977999999976e+01
3.825000000000000067e-01,1.672546718999999939e+04,9.247023047000000773e+00
3.875000000000000111e-01,1.505236948999999913e+04,8.335432117999999946e+00
3.925000000000000155e-01,1.349841180999999960e+04,7.491005047999999888e+00
3.975000000000000200e-01,1.211334082999999919e+04,6.742497725999999858e+00
4.025000000000000244e-01,1.083345307999999932e+04,6.056308830999999948e+00
4.074999999999999734e-01,9.657071555000000444e+03,5.429841943999999643e+00
4.124999999999999778e-01,8.580874062000000777e+03,4.853527801000000252e+00
4.174999999999999822e-01,7.594294324000000415e+03,4.322225598000000168e+00
4.224999999999999867e-01,6.702451076000000285e+03,3.845924816000000135e+00
4.274999999999999911e-01,5.903170946000000185e+03,3.419867379999999901e+00
4.324999999999999956e-01,5.172899059000000307e+03,3.029957204000000015e+00
4.375000000000000000e-01,4.513220975000000180e+03,2.673070264999999779e+00
4.425000000000000044e-01,3.922945928999999978e+03,2.352210587000000075e+00
4.475000000000000089e-01,3.395959613999999874e+03,2.064181986999999996e+00
4.525000000000000133e-01,2.923111394000000018e+03,1.805640064000000100e+00
4.575000000000000178e-01,2.509858174999999846e+03,1.578519599999999912e+00
4.625000000000000222e-01,2.136565376000000015e+03,1.369903080000000051e+00
4.675000000000000266e-01,1.805287154999999984e+03,1.181413553000000061e+00
4.724999999999999756e-01,1.516615592000000106e+03,1.015749118000000006e+00
4.774999999999999800e-01,1.265608891000000085e+03,8.727098151000000081e-01
4.824999999999999845e-01,1.043794605000000047e+03,7.454348767999999792e-01
4.874999999999999889e-01,8.495100175999999692e+02,6.307484233000000273e-01
4.924999999999999933e-01,6.786704508000000260e+02,5.285311809999999610e-01
4.974999999999999978e-01,5.319110138999999435e+02,4.402541704999999861e-01
