x_axis,Intensity,Error
2.500000000000000052e-03,1.373046867000000086e+06,7.347505192999999963e+03
7.499999999999999722e-03,1.204107908999999985e+06,4.008842998999999963e+03
1.250000000000000069e-02,9.082218915000000270e+05,2.668365707999999813e+03
1.750000000000000167e-02,5.802370581000000238e+05,1.682028403000000026e+03
2.249999999999999917e-02,3.186110025000000023e+05,9.229234517999999525e+02
2.750000000000000014e-02,1.574517137999999977e+05,4.098988413999999807e+02
3.250000000000000111e-02,8.668978948000000673e+04,1.597425043000000073e+02
3.749999999999999861e-02,6.484251329999999871e+04,9.700517929999999467e+01
4.250000000000000305e-02,5.571913515999999800e+04,7.990475524000000007e+01
4.750000000000000056e-02,4.367375843999999779e+04,6.037786999000000066e+01
5.249999999999999806e-02,3.143660028999999849e+04,3.997188283999999925e+01
5.750000000000000250e-02,2.460901328999999896e+04,2.880398166999999887e+01
6.250000000000000000e-02,2.225063095999999859e+04,2.518104556000000116e+01
6.750000000000000444e-02,2.012042685999999958e+04,2.188370454000000009e+01
7.249999999999999500e-02,1.655398933000000034e+04,1.734975258000000053e+01
7.749999999999999944e-02,1.310129506000000038e+04,1.307636557999999916e+01
8.250000000000000389e-02,1.144123963000000003e+04,1.115804390999999995e+01
8.749999999999999445e-02,1.094182020000000011e+04,1.029285460000000008e+01
9.249999999999999889e-02,9.936075426999999763e+03,9.039212901000000855e+00
9.750000000000000333e-02,8.260796089999999822e+03,7.303543581999999645e+00
1.024999999999999939e-01,6.949851024999999936e+03,6.013472977000000164e+00
1.074999999999999983e-01,6.494108968999999888e+03,5.515618317999999576e+00
1.125000000000000028e-01,6.260191907999999785e+03,5.132665735999999868e+00
1.174999999999999933e-01,5.592749743000000308e+03,4.474387950999999752e+00
1.224999999999999978e-01,4.715271369000000050e+03,3.703528835999999824e+00
1.275000000000000022e-01,4.184507649000000129e+03,3.254223238999999879e+00
1.325000000000000067e-01,4.040416953999999805e+03,3.070094033000000167e+00
1.375000000000000111e-01,3.848385545999999977e+03,2.837059797999999855e+00
1.424999999999999878e-01,3.385380756999999903e+03,2.453541808999999851e+00
1.474999999999999922e-01,2.921882371000000148e+03,2.096743233000000206e+00
1.524999999999999967e-01,2.709716034000000036e+03,1.925132671999999934e+00
1.575000000000000011e-01,2.640081893000000036e+03,1.827911556999999965e+00
1.625000000000000056e-01,2.461830175999999938e+03,1.665399660999999920e+00
1.675000000000000100e-01,2.151283883000000060e+03,1.440109642999999995e+00
