x_axis,Intensity,Error
2.500000000000000052e-03,5.079966209999999963e+06,1.244297422999999952e+06
7.499999999999999722e-03,4.618560359000000171e+06,6.279774289000000572e+05
1.250000000000000069e-02,4.948106160000000149e+06,5.966454033000000054e+05
1.750000000000000167e-02,4.717035276999999769e+06,4.259418203000000212e+05
2.249999999999999917e-02,5.081707756000000052e+06,4.092864680999999982e+05
2.750000000000000014e-02,5.103497327999999747e+06,3.741313779000000213e+05
3.250000000000000111e-02,4.446173667000000365e+06,3.019223752000000095e+05
3.749999999999999861e-02,4.748531907999999821e+06,3.190811141000000061e+05
4.250000000000000305e-02,3.877247918000000063e+06,2.531928787000000011e+05
4.750000000000000056e-02,2.642457262999999803e+06,2.005483594999999914e+05
5.249999999999999806e-02,6.950791922000000486e+05,6.181324352999999974e+04
5.750000000000000250e-02,2.555575848999999871e+05,4.945871764000000439e+03
6.250000000000000000e-02,1.217821845000000030e+05,1.870239250999999967e+03
6.750000000000000444e-02,6.053287026000000333e+04,8.706738503999999921e+02
7.249999999999999500e-02,2.963279498999999851e+04,4.072958394999999996e+02
7.749999999999999944e-02,1.530201353999999992e+04,1.939027197000000058e+02
8.250000000000000389e-02,8.120235389000000396e+03,8.637396336999999846e+01
8.749999999999999445e-02,4.987163835999999719e+03,3.754586523999999770e+01
9.249999999999999889e-02,3.733932037999999920e+03,1.938730497999999969e+01
9.750000000000000333e-02,3.235392304999999851e+03,1.499722419999999978e+01
1.024999999999999939e-01,2.903141415000000052e+03,1.352895808999999971e+01
1.074999999999999983e-01,2.573818570999999793e+03,1.222718872999999995e+01
1.125000000000000028e-01,2.191992995999999948e+03,1.070887137999999972e+01
1.174999999999999933e-01,1.819748303999999962e+03,9.118686986000000161e+00
1.224999999999999978e-01,1.406590470000000096e+03,7.188925447999999996e+00
1.275000000000000022e-01,1.076840956000000006e+03,5.440997949999999861e+00
1.325000000000000067e-01,8.128385318000000552e+02,3.849879753000000182e+00
1.375000000000000111e-01,6.379113317999999708e+02,2.717888101999999861e+00
1.424999999999999878e-01,5.276891775000000280e+02,1.983923360999999996e+00
1.474999999999999922e-01,4.703595609000000195e+02,1.640348654000000073e+00
1.524999999999999967e-01,4.321668940000000134e+02,1.472505530000000062e+00
1.575000000000000011e-01,4.064393499999999904e+02,1.382520935999999923e+00
1.625000000000000056e-01,3.770770074999999792e+02,1.286861320999999947e+00
1.675000000000000100e-01,3.409632207999999878e+02,1.172792336999999963e+00
1.724999999999999867e-01,2.997679762000000210e+02,1.041016600000000070e+00
1.774999999999999911e-01,2.597752437999999984e+02,9.057390459999999921e-01
1.824999999999999956e-01,2.179904381999999998e+02,7.542986630000000359e-01
1.875000000000000000e-01,1.847142627000000061e+02,6.207196595999999733e-01
1.925000000000000044e-01,1.595281100999999921e+02,5.117482244000000069e-01
1.975000000000000089e-01,1.419878519000000097e+02,4.317537450999999749e-01
2.025000000000000133e-01,1.292688832000000048e+02,3.772606674999999798e-01
2.074999999999999900e-01,1.208244442999999961e+02,3.445292772999999920e-01
2.124999999999999944e-01,1.139864773999999983e+02,3.234559074999999728e-01
2.174999999999999989e-01,1.078927185000000009e+02,3.054111976000000173e-01
2.225000000000000033e-01,1.002482097000000039e+02,2.842320943000000155e-01
2.275000000000000078e-01,9.257014427000000012e+01,2.626864776999999762e-01
2.325000000000000122e-01,8.347756798000000344e+01,2.373626647000000034e-01
2.374999999999999889e-01,7.554454006000000277e+01,2.139434258000000033e-01
2.424999999999999933e-01,6.783843038000000547e+01,1.898357797000000124e-01
2.474999999999999978e-01,6.100305236999999892e+01,1.679469999000000047e-01
2.525000000000000022e-01,5.555881408999999849e+01,1.482189656000000022e-01
2.575000000000000067e-01,5.124312042999999761e+01,1.330519971000000135e-01
2.625000000000000111e-01,4.778282595000000299e+01,1.216742568999999996e-01
2.675000000000000155e-01,4.490308696000000310e+01,1.133222918999999967e-01
2.725000000000000200e-01,4.247951992000000132e+01,1.069199656999999942e-01
2.775000000000000244e-01,4.009859014999999971e+01,1.008968521000000035e-01
2.824999999999999734e-01,3.801286739999999753e+01,9.540679236000000618e-02
2.874999999999999778e-01,3.570823338000000291e+01,8.961963257999999710e-02
2.924999999999999822e-01,3.338980237999999900e+01,8.348490978000000506e-02
2.974999999999999867e-01,3.136217708999999942e+01,7.778415648000000515e-02
3.024999999999999911e-01,2.923450633999999937e+01,7.199649610000000144e-02
3.074999999999999956e-01,2.729911201000000176e+01,6.628745352999999840e-02
3.125000000000000000e-01,2.529459573000000105e+01,6.059797121999999786e-02
3.175000000000000044e-01,2.365272075000000029e+01,5.572040674999999971e-02
3.225000000000000089e-01,2.220675008999999989e+01,5.175725567000000193e-02
3.275000000000000133e-01,2.095417347000000063e+01,4.842884008000000046e-02
3.325000000000000178e-01,1.978317656999999841e+01,4.568699872999999745e-02
3.375000000000000222e-01,1.880882537000000099e+01,4.343106311000000108e-02
3.425000000000000266e-01,1.791133556999999854e+01,4.137263960999999768e-02
3.474999999999999756e-01,1.727492945999999918e+01,3.967678305999999822e-02
3.524999999999999800e-01,1.649365059000000144e+01,3.780688592999999903e-02
3.574999999999999845e-01,1.580594739000000004e+01,3.595871603999999805e-02
3.624999999999999889e-01,1.513113813999999913e+01,3.417847738000000246e-02
3.674999999999999933e-01,1.434348682000000075e+01,3.224406640000000018e-02
3.724999999999999978e-01,1.359420352000000065e+01,3.029409624999999939e-02
3.775000000000000022e-01,1.283764453000000039e+01,2.842273337999999885e-02
3.825000000000000067e-01,1.208724924999999928e+01,2.651849854000000103e-02
3.875000000000000111e-01,1.141505064999999952e+01,2.489286476999999845e-02
3.925000000000000155e-01,1.077245296999999979e+01,2.338455994000000066e-02
3.975000000000000200e-01,1.028639165999999960e+01,2.232718813999999899e-02
4.025000000000000244e-01,9.897313785999999780e+00,2.147170646000000002e-02
4.074999999999999734e-01,9.527210458000000770e+00,2.066959729999999842e-02
4.124999999999999778e-01,9.248476352999999150e+00,2.003134720000000063e-02
4.174999999999999822e-01,8.947352347000000705e+00,1.928067446000000101e-02
4.224999999999999867e-01,8.682738932999999548e+00,1.861652895999999988e-02
4.274999999999999911e-01,8.376925441999999222e+00,1.787941005999999985e-02
4.324999999999999956e-01,8.077574807999999607e+00,1.717674808999999914e-02
4.375000000000000000e-01,7.702621860999999903e+00,1.634597764999999939e-02
4.425000000000000044e-01,7.150058855000000158e+00,1.537545887000000069e-02
4.475000000000000089e-01,6.518378514000000123e+00,1.434743181000000013e-02
4.525000000000000133e-01,5.882840700000000034e+00,1.330641014000000059e-02
4.575000000000000178e-01,5.296128547000000353e+00,1.236681849999999964e-02
4.625000000000000222e-01,4.706026459000000273e+00,1.145373275000000080e-02
4.675000000000000266e-01,4.135799847999999557e+00,1.060056550000000077e-02
4.724999999999999756e-01,3.620671629999999919e+00,9.833256655000000707e-03
4.774999999999999800e-01,3.121060867999999822e+00,9.093314454000000699e-03
4.824999999999999845e-01,2.647773175000000201e+00,8.359836222999999372e-03
4.874999999999999889e-01,2.154885988999999835e+00,7.513542455999999703e-03
4.924999999999999933e-01,1.679690284999999950e+00,6.619626814999999762e-03
4.974999999999999978e-01,1.213889122000000098e+00,5.616101049000000317e-03
