x_axis,Intensity,Error
8.019889859000000135e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.405966958000000169e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.009944929999999935e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.613922900999999965e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.217900872999999384e-02,0.000000000000000000e+00,0.000000000000000000e+00
8.821878845000000191e-02,2.890016162999999779e+03,1.226804270999999957e+01
1.042585681999999986e-01,8.427311177999999927e+03,1.668175207999999898e+01
1.202983479000000050e-01,4.492795694000000367e+03,8.409081245999999510e+00
1.363381275999999975e-01,1.814677507000000105e+03,3.501899926000000107e+00
1.523779073000000039e-01,6.262033066999999846e+02,1.311649775000000018e+00
1.684176870000000104e-01,1.957318045000000097e+02,4.152579699000000235e-01
1.844574667999999973e-01,1.153604911999999985e+02,1.578395911000000096e-01
2.004972465000000037e-01,1.598169159999999920e+02,1.792757339000000116e-01
2.165370262000000101e-01,2.182977721000000031e+02,2.127376331999999981e-01
2.325768058999999888e-01,2.443589425000000119e+02,2.214033062999999912e-01
2.486165855999999952e-01,2.302195646000000124e+02,2.039284976999999888e-01
2.646563653999999821e-01,1.874152175000000113e+02,1.673533607999999895e-01
2.806961451000000163e-01,1.318805979999999920e+02,1.222784172000000030e-01
2.967359247999999949e-01,7.908121672999999419e+01,7.894370422999999470e-02
3.127757044999999736e-01,3.949788838999999996e+01,4.430717609999999806e-02
3.288154842000000078e-01,1.634323794999999890e+01,2.081728345000000147e-02
3.448552638999999864e-01,8.210619361999999199e+00,9.180546544999999489e-03
3.608950436999999734e-01,1.046201472999999993e+01,9.969671673000000608e-03
3.769348234000000075e-01,1.745372997999999853e+01,1.425943177000000076e-02
3.929746030999999862e-01,2.434812557000000055e+01,1.765148084000000075e-02
4.090143828000000203e-01,2.795910616999999831e+01,1.912224547000000024e-02
4.250541624999999990e-01,2.728557951999999887e+01,1.836678061000000112e-02
4.410939422999999859e-01,2.284379836999999824e+01,1.566520806999999876e-02
4.571337220000000201e-01,1.643613222000000107e+01,1.185531714000000007e-02
4.731735016999999988e-01,9.941506144999999961e+00,7.870835698999999880e-03
4.892132813999999774e-01,4.901191801999999598e+00,4.462901517999999686e-03
5.052530611000000116e-01,2.128861501999999906e+00,2.108558553999999915e-03
5.212928409000000540e-01,1.639896149999999997e+00,1.400407272999999991e-03
5.373326205999999772e-01,2.795029657999999806e+00,2.145344377000000212e-03
5.533724003000000113e-01,4.650965417000000102e+00,3.060411364000000141e-03
5.694121800000000455e-01,6.294450559000000389e+00,3.754743781999999967e-03
5.854519596999999687e-01,7.089509773999999709e+00,4.047964595999999603e-03
6.014917394000000028e-01,6.810874423999999649e+00,3.865260792000000008e-03
6.175315192000000453e-01,5.622141767999999651e+00,3.277204764000000124e-03
6.335712988999999684e-01,3.956357122000000004e+00,2.454941372999999791e-03
6.496110786000000026e-01,2.303494446000000195e+00,1.596805525000000040e-03
6.656508583000000367e-01,1.086238473999999954e+00,8.747797142000000381e-04
6.816906379999999599e-01,5.216171963000000300e-01,4.224672073999999984e-04
6.977304178000000023e-01,6.013407227999999494e-01,4.443833996000000255e-04
7.137701975000000365e-01,1.125126177000000061e+00,7.231948710000000178e-04
7.298099771999999597e-01,1.804548306000000046e+00,1.008643198999999895e-03
7.458497568999999938e-01,2.349146281999999974e+00,1.214091676999999939e-03
7.618895366000000280e-01,2.572568577000000190e+00,1.287061829000000091e-03
7.779293162999999511e-01,2.406796068999999871e+00,1.207571942000000087e-03
7.939690960999999936e-01,1.934046342000000029e+00,1.004442371999999953e-03
8.100088758000000277e-01,1.310660069999999955e+00,7.329132762999999908e-04
8.260486554999999509e-01,7.257657839000000166e-01,4.605688847000000120e-04
8.420884351999999851e-01,3.269444813999999866e-01,2.400334184999999918e-04
8.581282149000000192e-01,1.889546062000000137e-01,1.311106111999999911e-04
8.741679946999999506e-01,2.948393356999999826e-01,1.924632759000000071e-04
8.902077743999999848e-01,5.581584241000000501e-01,3.098969405000000254e-04
9.062475541000000190e-01,8.568616865000000526e-01,4.214607195000000185e-04
9.222873338000000532e-01,1.076301857999999889e+00,4.971208030000000277e-04
9.383271134999999763e-01,1.142739699999999914e+00,5.161391380999999544e-04
9.543668933000000187e-01,1.040017940999999890e+00,4.741855494999999872e-04
9.704066730000000529e-01,8.095695344000000127e-01,3.847136935000000082e-04
9.864464526999999761e-01,5.271079923999999473e-01,2.725056737999999876e-04
1.002486232000000088e+00,2.758632543999999798e-01,1.640867321000000082e-04
1.018526011999999925e+00,1.208041710000000019e-01,8.150688302000000374e-05
1.034565791999999984e+00,8.949218855000000417e-02,5.648791764000000049e-05
1.050605572000000043e+00,1.681850176999999946e-01,9.754194524999999739e-05
1.066645351000000019e+00,3.119781430999999938e-01,1.535451730000000079e-04
1.082685131000000078e+00,4.605770234000000074e-01,2.043969562000000112e-04
1.098724910999999915e+00,5.604785427999999792e-01,2.364276864000000079e-04
1.114764689999999892e+00,5.794799331000000109e-01,2.408503173999999999e-04
1.130804469999999951e+00,5.136695198999999823e-01,2.166344871999999883e-04
1.146844250000000009e+00,3.882197901000000173e-01,1.715264827000000038e-04
1.162884030000000068e+00,2.428583508000000113e-01,1.176495358000000010e-04
1.178923809000000045e+00,1.202654635999999971e-01,6.773838734999999681e-05
1.194963589000000104e+00,5.228410681000000143e-02,3.241040577999999741e-05
1.211003368999999941e+00,5.012725702999999700e-02,2.971785103000000098e-05
1.227043147999999917e+00,1.038354897000000054e-01,5.415240899999999803e-05
1.243082927999999976e+00,1.869428355999999958e-01,8.353144799000000612e-05
1.259122708000000035e+00,2.609145969000000176e-01,1.082050246000000002e-04
1.275162488000000094e+00,2.945700911999999949e-01,1.209445661000000061e-04
1.291202267000000070e+00,2.792309423000000068e-01,1.183392599999999977e-04
1.307242046999999907e+00,2.265390556000000111e-01,1.020915165999999966e-04
1.323281826999999966e+00,1.552972727999999969e-01,7.710131523000000029e-05
1.339321605999999942e+00,8.742330100999999576e-02,5.018355979999999911e-05
1.355361386000000001e+00,3.878329744000000301e-02,2.717890717000000117e-05
1.371401166000000060e+00,1.604444639000000145e-02,1.259480292999999950e-05
1.387440945999999897e+00,1.627844326000000078e-02,1.364394460999999976e-05
1.403480725000000096e+00,2.985573378000000097e-02,2.324833534999999867e-05
1.419520504999999932e+00,4.550561805000000182e-02,3.286334868999999693e-05
1.435560284999999991e+00,5.479303080999999714e-02,3.949211624000000052e-05
1.451600065000000050e+00,5.380657123000000264e-02,4.109536175000000336e-05
1.467639844000000027e+00,4.392410764000000134e-02,3.733207068000000077e-05
1.483679624000000086e+00,2.965278937999999906e-02,2.955855597999999850e-05
1.499719403999999923e+00,1.617996686999999961e-02,2.015676124999999885e-05
1.515759182999999899e+00,6.672935783000000405e-03,1.143382677000000003e-05
1.531798962999999958e+00,1.869446766000000060e-03,5.089021645000000380e-06
1.547838743000000017e+00,2.558870495999999951e-04,1.499361217000000021e-06
1.563878523000000076e+00,5.320834843000000237e-06,1.688926676000000089e-07
1.579918302000000052e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.595958081999999889e+00,0.000000000000000000e+00,0.000000000000000000e+00
