x_axis,Intensity,Error
2.500000000000000052e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,4.392501456999999937e+04,1.350165145999999936e+02
1.750000000000000167e-02,2.825165188000000126e+04,7.092453501999999332e+01
2.249999999999999917e-02,7.093530504999999721e+03,1.793548670999999928e+01
2.750000000000000014e-02,6.496538838000000396e+03,1.084332494000000047e+01
3.250000000000000111e-02,8.836806818999999450e+03,1.173718210999999911e+01
3.749999999999999861e-02,6.636624827999999980e+03,8.736762280000000658e+00
4.250000000000000305e-02,2.954549961000000167e+03,4.429673676000000171e+00
4.750000000000000056e-02,1.707943649000000050e+03,2.439376058000000125e+00
5.249999999999999806e-02,2.434920056999999815e+03,2.846718470999999973e+00
5.750000000000000250e-02,2.680848543999999947e+03,2.753255337000000136e+00
6.250000000000000000e-02,1.835151491999999962e+03,1.959948094000000030e+00
6.750000000000000444e-02,1.034860977000000048e+03,1.189189430999999963e+00
7.249999999999999500e-02,9.753551260000000411e+02,1.062114191000000041e+00
7.749999999999999944e-02,1.174528559999999970e+03,1.118561595999999936e+00
8.250000000000000389e-02,1.080811056000000008e+03,9.671545757999999715e-01
8.749999999999999445e-02,7.789774376000000302e+02,7.191319682000000268e-01
9.249999999999999889e-02,6.077290795999999773e+02,5.710744367000000210e-01
9.750000000000000333e-02,6.007758056000000124e+02,5.434283609000000181e-01
1.024999999999999939e-01,5.918208670000000211e+02,5.003704239999999803e-01
1.074999999999999983e-01,5.249024934000000258e+02,4.255872776999999885e-01
1.125000000000000028e-01,4.542667991999999799e+02,3.652219213999999825e-01
1.174999999999999933e-01,4.006142293999999993e+02,3.235584827999999913e-01
1.224999999999999978e-01,3.527616727999999853e+02,2.844373969999999807e-01
1.275000000000000022e-01,3.194136020000000258e+02,2.482635341999999967e-01
1.325000000000000067e-01,3.135108953000000156e+02,2.297063719000000115e-01
1.375000000000000111e-01,3.013269531999999913e+02,2.151154170000000032e-01
1.424999999999999878e-01,2.554233001999999999e+02,1.861368203000000054e-01
1.474999999999999922e-01,2.070782000000000096e+02,1.541422340999999974e-01
