x_axis,Intensity,Error
2.500000000000000052e-03,5.319448316000000341e+05,3.461143649000000096e+03
7.499999999999999722e-03,2.146627717000000121e+05,1.125782335999999987e+03
1.250000000000000069e-02,4.433957364000000234e+04,1.668522700000000043e+02
1.750000000000000167e-02,2.073152907000000050e+04,4.927913003999999830e+01
2.249999999999999917e-02,1.133636271999999917e+04,2.243504628999999895e+01
2.750000000000000014e-02,7.438318011999999726e+03,1.324003343999999949e+01
3.250000000000000111e-02,4.999690002000000277e+03,8.013962205000000338e+00
3.749999999999999861e-02,3.622183585000000221e+03,5.444419923999999966e+00
4.250000000000000305e-02,2.655103506999999809e+03,3.718600308000000076e+00
4.750000000000000056e-02,2.025486949000000095e+03,2.706214273000000059e+00
5.249999999999999806e-02,1.551271475999999893e+03,1.967183246000000052e+00
5.750000000000000250e-02,1.212773067999999967e+03,1.485967113000000062e+00
6.250000000000000000e-02,9.481487158999999565e+02,1.117516084000000021e+00
6.750000000000000444e-02,7.546519104999999854e+02,8.666381483999999746e-01
7.249999999999999500e-02,5.959470833000000312e+02,6.656526701999999629e-01
7.749999999999999944e-02,4.775463937999999757e+02,5.236963525000000175e-01
8.250000000000000389e-02,3.794447824999999739e+02,4.076337750999999843e-01
8.749999999999999445e-02,3.045364614000000074e+02,3.236638010999999815e-01
9.249999999999999889e-02,2.414132446000000130e+02,2.535070808000000064e-01
9.750000000000000333e-02,1.931959133999999949e+02,2.021577430000000009e-01
1.024999999999999939e-01,1.529838665999999989e+02,1.589760098000000121e-01
1.074999999999999983e-01,1.213417622999999992e+02,1.265772495999999969e-01
1.125000000000000028e-01,9.517759148000000380e+01,9.929577321999999429e-02
1.174999999999999933e-01,7.502255264000000068e+01,7.898118715999999373e-02
1.224999999999999978e-01,5.828164577999999807e+01,6.159589887999999958e-02
1.275000000000000022e-01,4.549973477999999716e+01,4.872829624999999720e-02
1.325000000000000067e-01,3.495655379000000096e+01,3.768597587999999998e-02
1.375000000000000111e-01,2.706014903999999888e+01,2.954792620000000133e-02
1.424999999999999878e-01,2.057184297999999956e+01,2.250154935000000037e-02
1.474999999999999922e-01,1.578470414000000055e+01,1.739389432999999957e-02
1.524999999999999967e-01,1.195508644999999959e+01,1.301199240000000014e-02
1.575000000000000011e-01,9.229229267999999209e+00,9.911056668999999181e-03
1.625000000000000056e-01,7.099898910000000285e+00,7.303698794000000258e-03
1.675000000000000100e-01,5.640278933000000272e+00,5.533540332000000395e-03
1.724999999999999867e-01,4.523178179000000299e+00,4.096462036999999785e-03
1.774999999999999911e-01,3.823971307999999958e+00,3.244419700999999923e-03
1.824999999999999956e-01,3.319812173999999949e+00,2.627259066000000014e-03
1.875000000000000000e-01,3.028937410000000163e+00,2.332420359999999842e-03
1.925000000000000044e-01,2.848311768999999938e+00,2.160099070000000114e-03
1.975000000000000089e-01,2.777244735000000020e+00,2.093264034999999922e-03
2.025000000000000133e-01,2.750768850000000043e+00,2.049938267000000081e-03
2.074999999999999900e-01,2.766479946000000023e+00,2.021328379999999970e-03
2.124999999999999944e-01,2.792486577000000025e+00,1.992484508999999796e-03
2.174999999999999989e-01,2.824765376999999855e+00,1.962086291000000177e-03
2.225000000000000033e-01,2.859692357000000129e+00,1.934204932000000094e-03
2.275000000000000078e-01,2.872610322999999966e+00,1.901081763999999978e-03
2.325000000000000122e-01,2.877606545999999987e+00,1.869735964000000025e-03
2.374999999999999889e-01,2.864385407999999966e+00,1.837840269000000099e-03
2.424999999999999933e-01,2.834300917000000197e+00,1.804256158999999974e-03
2.474999999999999978e-01,2.791051264000000032e+00,1.769812630000000032e-03
2.525000000000000022e-01,2.729449788999999793e+00,1.730493970000000076e-03
2.575000000000000067e-01,2.653610495000000125e+00,1.686939540999999937e-03
2.625000000000000111e-01,2.568726047999999818e+00,1.640074463999999926e-03
2.675000000000000155e-01,2.469261745999999924e+00,1.586323756999999954e-03
2.725000000000000200e-01,2.360343102999999942e+00,1.527659966000000048e-03
2.775000000000000244e-01,2.249330238999999843e+00,1.465729641000000074e-03
2.824999999999999734e-01,2.126943198000000201e+00,1.397774257999999901e-03
2.874999999999999778e-01,2.004280635999999838e+00,1.326447723000000059e-03
2.924999999999999822e-01,1.874263191999999911e+00,1.250215568999999945e-03
2.974999999999999867e-01,1.751880477999999908e+00,1.175458955999999968e-03
3.024999999999999911e-01,1.620595358000000097e+00,1.094266815999999981e-03
3.074999999999999956e-01,1.497181590999999923e+00,1.016019408000000054e-03
3.125000000000000000e-01,1.373184479999999930e+00,9.357903636999999504e-04
3.175000000000000044e-01,1.255033083000000049e+00,8.575895977000000262e-04
3.225000000000000089e-01,1.139848701000000020e+00,7.803064997000000533e-04
3.275000000000000133e-01,1.031007798999999947e+00,7.063368451999999485e-04
3.325000000000000178e-01,9.283848600999999867e-01,6.347180969000000041e-04
3.375000000000000222e-01,8.332648128999999848e-01,5.679489850000000528e-04
3.425000000000000266e-01,7.423358480999999731e-01,5.029448331999999489e-04
3.474999999999999756e-01,6.622803676999999833e-01,4.449153153000000218e-04
3.524999999999999800e-01,5.881441090000000260e-01,3.900691700000000206e-04
3.574999999999999845e-01,5.226740842999999526e-01,3.418011459000000105e-04
3.624999999999999889e-01,4.648995142999999830e-01,2.980375722999999990e-04
3.674999999999999933e-01,4.135216044000000202e-01,2.599541475999999967e-04
3.724999999999999978e-01,3.705464278000000222e-01,2.272450839000000086e-04
3.775000000000000022e-01,3.339188805000000149e-01,2.002442882000000002e-04
3.825000000000000067e-01,3.037048264000000164e-01,1.782564286999999874e-04
3.875000000000000111e-01,2.791518894000000195e-01,1.613339038000000049e-04
3.925000000000000155e-01,2.597920250999999903e-01,1.486581372000000034e-04
3.975000000000000200e-01,2.454342442999999929e-01,1.398644731000000000e-04
4.025000000000000244e-01,2.350112752999999888e-01,1.339378938999999890e-04
4.074999999999999734e-01,2.276361860999999986e-01,1.299076359999999945e-04
4.124999999999999778e-01,2.232302861999999888e-01,1.273784778999999950e-04
4.174999999999999822e-01,2.209749743999999960e-01,1.255953518999999906e-04
4.224999999999999867e-01,2.205000998999999962e-01,1.243695887000000045e-04
4.274999999999999911e-01,2.212320697000000058e-01,1.233896225999999915e-04
4.324999999999999956e-01,2.227079617999999928e-01,1.224784207999999903e-04
4.375000000000000000e-01,2.246701181000000103e-01,1.216378816999999989e-04
4.425000000000000044e-01,2.265473675999999936e-01,1.207405151000000065e-04
4.475000000000000089e-01,2.279534601000000049e-01,1.198023731999999994e-04
4.525000000000000133e-01,2.290594733000000105e-01,1.189279429000000029e-04
4.575000000000000178e-01,2.296172982999999945e-01,1.180586818999999942e-04
4.625000000000000222e-01,2.295663387000000111e-01,1.172083926999999934e-04
4.675000000000000266e-01,2.283198053999999921e-01,1.161948502999999991e-04
4.724999999999999756e-01,2.266096471000000057e-01,1.151813376999999969e-04
4.774999999999999800e-01,2.236291391999999933e-01,1.139349401000000001e-04
4.824999999999999845e-01,2.200076685000000032e-01,1.125482088999999939e-04
4.874999999999999889e-01,2.085255081999999871e-01,1.091062768000000032e-04
4.924999999999999933e-01,8.534153160999999321e-02,6.947495273000000085e-05
4.974999999999999978e-01,7.979100622999999934e-04,6.679154079000000327e-06
