x_axis,Intensity,Error
2.500000000000000052e-03,4.596073040999999648e+04,4.849098917000000029e+02
7.499999999999999722e-03,6.004225894000000153e+03,5.285160299999999722e+01
1.250000000000000069e-02,1.316123992999999928e+03,3.405313379999999945e+00
1.750000000000000167e-02,5.338275350000000117e+02,1.091716378000000098e+00
2.249999999999999917e-02,2.491196925000000135e+02,4.423141254999999883e-01
2.750000000000000014e-02,1.207579025000000001e+02,1.945180153000000134e-01
3.250000000000000111e-02,5.710707100999999852e+01,8.631167972999999327e-02
3.749999999999999861e-02,2.507111783999999943e+01,3.682546936000000160e-02
4.250000000000000305e-02,9.666277856000000668e+00,1.445667624000000068e-02
4.750000000000000056e-02,2.967671806999999884e+00,4.905777798999999897e-03
5.249999999999999806e-02,6.910507354999999574e-01,1.311805059000000070e-03
5.750000000000000250e-02,4.519182804999999914e-01,6.414994749999999640e-04
6.250000000000000000e-02,9.054928129000000547e-01,1.043023979999999898e-03
6.750000000000000444e-02,1.382705488000000038e+00,1.369626340000000032e-03
7.249999999999999500e-02,1.620792797000000007e+00,1.487422999000000091e-03
7.749999999999999944e-02,1.576707539000000047e+00,1.396802070000000093e-03
8.250000000000000389e-02,1.323062031000000083e+00,1.163054882999999895e-03
8.749999999999999445e-02,9.727534593000000118e-01,8.712651486000000086e-04
9.249999999999999889e-02,6.230527844000000037e-01,5.879921809999999992e-04
9.750000000000000333e-02,3.446270962999999909e-01,3.557275074000000180e-04
1.024999999999999939e-01,1.647200282000000071e-01,1.893901962999999919e-04
1.074999999999999983e-01,7.873360237000000261e-02,8.942675613999999959e-05
1.125000000000000028e-01,6.452149830999999447e-02,6.499490182000000540e-05
1.174999999999999933e-01,9.080469012000000339e-02,8.517241898999999329e-05
1.224999999999999978e-01,1.283061004999999921e-01,1.044640458999999955e-04
1.275000000000000022e-01,1.568810855999999976e-01,1.147410497999999982e-04
1.325000000000000067e-01,1.656349475999999987e-01,1.152607166999999975e-04
1.375000000000000111e-01,1.545555688999999955e-01,1.075936139000000061e-04
1.424999999999999878e-01,1.286773508000000066e-01,9.347433461000000641e-05
1.474999999999999922e-01,9.624494923000000146e-02,7.530271125999999878e-05
1.524999999999999967e-01,6.559902244000000160e-02,5.591323397999999859e-05
1.575000000000000011e-01,4.193953570000000242e-02,3.777602464000000011e-05
1.625000000000000056e-01,2.783254845000000116e-02,2.412483321999999962e-05
1.675000000000000100e-01,2.268741641000000114e-02,1.809326720000000135e-05
1.724999999999999867e-01,2.393911311000000014e-02,1.873989924999999954e-05
1.774999999999999911e-01,2.820600653999999832e-02,2.076698937999999956e-05
1.824999999999999956e-01,3.259502231999999999e-02,2.185953769999999879e-05
1.875000000000000000e-01,3.508075859999999768e-02,2.198553336999999869e-05
1.925000000000000044e-01,3.480642924999999971e-02,2.148950234000000111e-05
1.975000000000000089e-01,3.187974192000000290e-02,2.036840152000000010e-05
2.025000000000000133e-01,2.731539284000000095e-02,1.852386680000000049e-05
2.074999999999999900e-01,2.212888118000000057e-02,1.592326407000000082e-05
2.124999999999999944e-01,1.734726643000000096e-02,1.287717743000000064e-05
