x_axis,Intensity,Error
2.488931336000000175e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.466794007000000094e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.244465667999999914e-02,3.194352730999999949e+03,1.134586200999999939e+01
1.742251934999999863e-02,3.582375532999999905e+03,7.605934763999999682e+00
2.240038202000000159e-02,2.176681703000000198e+03,3.955548779999999987e+00
2.737824469000000108e-02,1.356882149000000027e+03,2.128551767999999900e+00
3.235610735999999710e-02,9.273202718999999661e+02,1.364401076000000046e+00
3.733397002999999659e-02,6.864616462999999840e+02,9.389985320000000524e-01
4.231183270999999690e-02,4.973436181000000147e+02,6.231354330999999691e-01
4.728969538000000333e-02,3.787843113999999787e+02,4.563660542999999903e-01
5.226755805000000282e-02,2.969385679999999752e+02,3.394469190000000136e-01
5.724542072000000231e-02,2.256980139000000065e+02,2.432734440000000053e-01
6.222328339000000180e-02,1.795874507999999992e+02,1.886393711999999889e-01
6.720114605999999435e-02,1.433048569999999984e+02,1.433925466000000037e-01
7.217900872999999384e-02,1.109370241000000021e+02,1.069050353000000064e-01
7.715687139999999333e-02,9.021809270999999342e+01,8.512022233999999576e-02
8.213473407999999365e-02,7.112963573999999767e+01,6.404664562999999589e-02
8.711259674999999314e-02,5.545546868000000273e+01,4.888683488000000049e-02
9.209045942000000651e-02,4.502219995000000097e+01,3.891910758000000081e-02
9.706832209000000600e-02,3.469898449000000085e+01,2.866649732999999867e-02
1.020461847999999949e-01,2.694923886000000124e+01,2.208350249000000029e-02
1.070240474000000025e-01,2.143744620000000012e+01,1.714187618999999871e-02
1.120019101000000045e-01,1.584914052000000062e+01,1.222999701000000022e-02
1.169797728000000064e-01,1.213986036000000013e+01,9.372364931000000399e-03
1.219576354000000001e-01,9.167156711000000513e+00,6.840781443999999732e-03
1.269354980999999882e-01,6.407975131999999796e+00,4.694893587000000153e-03
1.319133607999999902e-01,4.721026299000000037e+00,3.472663055000000179e-03
1.368912234999999922e-01,3.215005016000000104e+00,2.257590029000000175e-03
1.418690861000000136e-01,2.047750687000000180e+00,1.457552439999999956e-03
1.468469487999999878e-01,1.359843938999999891e+00,9.652332562000000369e-04
1.518248114999999898e-01,7.360670784999999716e-01,4.969855185999999926e-04
1.568026741000000113e-01,3.754439097000000225e-01,2.795532826000000264e-04
1.617805368000000132e-01,1.683587323999999885e-01,1.219042518999999947e-04
1.667583994999999875e-01,4.062546590999999846e-02,3.376870275000000334e-05
1.717362621999999894e-01,1.992435064000000131e-02,1.608927698999999917e-05
1.767141248000000109e-01,4.706392345999999699e-02,3.203632387000000147e-05
1.816919875000000129e-01,1.303289343000000045e-01,8.617403813999999337e-05
1.866698501999999871e-01,2.133152698000000125e-01,1.333576740000000079e-04
1.916477128000000085e-01,3.351574950999999802e-01,1.986171433999999901e-04
1.966255755000000105e-01,4.477451572000000213e-01,2.661456601999999958e-04
2.016034382000000125e-01,5.427187875000000217e-01,3.128528342000000038e-04
2.065813008999999867e-01,6.615878351999999740e-01,3.762700534000000259e-04
2.115591635000000081e-01,7.235776382999999923e-01,4.090142792999999820e-04
2.165370262000000101e-01,7.992460560999999908e-01,4.427078050999999886e-04
2.215148889000000121e-01,8.558574770000000331e-01,4.701581140000000124e-04
2.264927515000000058e-01,8.610743250000000293e-01,4.697808795999999787e-04
2.314706142000000078e-01,9.025428946000000341e-01,4.823334415999999941e-04
2.364484769000000097e-01,8.800126442000000271e-01,4.687628074999999808e-04
2.414263396000000117e-01,8.569722306000000511e-01,4.532601938999999860e-04
2.464042022000000054e-01,8.483281275999999815e-01,4.387739605000000060e-04
2.513820648999999796e-01,7.744266279999999503e-01,4.011655161999999933e-04
2.563599275999999816e-01,7.399585788000000441e-01,3.798293794000000083e-04
2.613377901999999753e-01,6.836296530000000038e-01,3.436365315999999966e-04
2.663156528999999773e-01,5.976006402000000328e-01,3.025852533000000246e-04
2.712935155999999792e-01,5.571208006000000212e-01,2.771059447000000144e-04
2.762713782999999812e-01,4.748163063999999989e-01,2.332033778999999989e-04
2.812492408999999749e-01,4.066438374999999938e-01,2.016157156000000057e-04
2.862271035999999769e-01,3.582793549000000133e-01,1.725454079999999915e-04
2.912049662999999788e-01,2.807924775999999789e-01,1.356893769999999925e-04
2.961828288999999725e-01,2.355638804000000086e-01,1.143499615999999975e-04
3.011606915999999745e-01,1.865344183000000045e-01,8.730672870999999641e-05
3.061385542999999765e-01,1.346752729000000037e-01,6.470676623999999804e-05
3.111164169999999785e-01,1.057666701999999959e-01,5.019046029999999869e-05
3.160942796000000277e-01,6.945827990000000285e-02,3.200991599000000055e-05
3.210721422999999741e-01,4.501696381999999858e-02,2.199539744000000038e-05
3.260500049999999761e-01,2.800148720000000119e-02,1.307418327999999960e-05
3.310278676000000253e-01,1.228618792999999938e-02,6.058815326999999711e-06
3.360057303000000273e-01,5.420274763000000086e-03,3.010300772000000050e-06
3.409835929999999737e-01,1.252012182999999966e-03,6.177093144000000234e-07
3.459614556999999757e-01,1.798185782000000016e-03,1.065804991999999925e-06
3.509393183000000249e-01,4.797284879000000141e-03,2.334611948000000203e-06
3.559171810000000269e-01,1.222860853999999976e-02,5.570941172999999637e-06
3.608950436999999734e-01,1.887630380000000080e-02,8.692636169000000657e-06
3.658729063000000226e-01,2.943887690000000085e-02,1.253916708000000017e-05
3.708507690000000245e-01,4.044786563000000307e-02,1.765759505000000061e-05
3.758286317000000265e-01,4.767058676000000134e-02,2.051674134999999902e-05
3.808064943999999730e-01,6.281851550000000506e-02,2.614565010000000092e-05
3.857843570000000222e-01,6.802178135000000458e-02,2.905166860000000048e-05
3.907622197000000241e-01,7.690112148000000092e-02,3.198375287000000065e-05
3.957400824000000261e-01,8.870198256000000336e-02,3.638691000999999938e-05
4.007179450000000198e-01,8.603275361999999926e-02,3.605290331999999766e-05
4.056958077000000218e-01,9.742906706999999999e-02,3.938602311000000307e-05
4.106736704000000238e-01,9.757261859999999398e-02,3.966400069000000319e-05
4.156515331000000257e-01,9.311362473999999778e-02,3.819823575000000246e-05
4.206293957000000194e-01,1.017333311000000046e-01,4.016957146999999828e-05
4.256072584000000214e-01,9.025883141000000387e-02,3.649369659999999793e-05
4.305851211000000234e-01,8.951721319000000010e-02,3.576763308000000181e-05
4.355629837000000171e-01,8.858013890999999473e-02,3.443070628999999689e-05
4.405408464000000190e-01,7.375806994000000394e-02,2.964806796000000146e-05
4.455187091000000210e-01,7.452484280000000461e-02,2.909514993999999980e-05
4.504965717000000147e-01,5.490506065999999769e-02,2.328104019999999882e-05
4.554744344000000167e-01,3.957027072000000173e-02,1.899265129999999939e-05
4.604522971000000187e-01,2.903662401000000129e-02,1.540195975000000083e-05
4.654301598000000206e-01,1.511360680999999928e-02,1.006405455000000043e-05
4.704080224000000143e-01,8.453211215000000847e-03,7.276739546000000235e-06
4.753858851000000163e-01,1.540650842000000067e-03,2.629955608000000135e-06
4.803637478000000183e-01,7.690834108999999744e-05,6.296100290000000368e-07
4.853416104000000120e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.903194731000000139e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.952973358000000159e-01,0.000000000000000000e+00,0.000000000000000000e+00
