x_axis,Intensity,Error
2.500000000000000052e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000069e-02,3.828663406000000009e+02,4.634903608000000119e+00
1.750000000000000167e-02,3.161621051999999850e+02,2.546851819000000017e+00
2.249999999999999917e-02,1.463507045000000062e+02,1.021956749000000109e+00
2.750000000000000014e-02,7.115362530999999535e+01,4.495158605999999835e-01
3.250000000000000111e-02,3.304456469000000141e+01,1.966745722999999890e-01
3.749999999999999861e-02,1.461156410999999977e+01,8.429244774999999912e-02
4.250000000000000305e-02,5.607638187000000052e+00,3.302681742000000004e-02
4.750000000000000056e-02,1.720946448000000073e+00,1.123948479999999951e-02
5.249999999999999806e-02,4.081189614999999882e-01,3.044300751999999815e-03
5.750000000000000250e-02,2.680147316000000002e-01,1.483557356000000027e-03
6.250000000000000000e-02,5.312268573999999743e-01,2.400106280000000123e-03
6.750000000000000444e-02,8.027434408000000410e-01,3.127266706999999851e-03
7.249999999999999500e-02,9.471185470999999856e-01,3.408892568000000071e-03
7.749999999999999944e-02,9.208153131999999852e-01,3.202978424000000029e-03
8.250000000000000389e-02,7.715219424999999465e-01,2.664535063000000176e-03
8.749999999999999445e-02,5.700176867999999786e-01,2.001938159000000213e-03
9.249999999999999889e-02,3.650085409000000114e-01,1.350131712000000048e-03
9.750000000000000333e-02,2.043212896999999917e-01,8.240280324999999569e-04
1.024999999999999939e-01,9.635785043000000272e-02,4.347574255999999836e-04
1.074999999999999983e-01,4.650715608000000056e-02,2.073567777000000049e-04
1.125000000000000028e-01,3.775447508000000230e-02,1.494770046000000062e-04
1.174999999999999933e-01,5.315777498000000267e-02,1.955755994000000087e-04
1.224999999999999978e-01,7.523970899000000101e-02,2.399726361999999884e-04
1.275000000000000022e-01,9.192034649999999973e-02,2.635624347000000171e-04
1.325000000000000067e-01,9.698197492000000530e-02,2.645237747000000203e-04
1.375000000000000111e-01,9.032936169999999931e-02,2.466902839000000101e-04
1.424999999999999878e-01,7.509477125999999836e-02,2.141603026999999899e-04
1.474999999999999922e-01,5.622112620999999977e-02,1.727952798999999890e-04
